langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Knowledge Engineering and Knowledge Management,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61244-3,"C. Maria Keet, Michel Dumontier",9783030612443,,2020
,Knowledge Engineering Tools and Techniques for AI Planning,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-38561-3,"Mauro Vallati, Diane Kitchin",9783030385613,,2020
,Knowledge Graph Reasoning,Synthesis Collection of Technology (R0),Artificial Intelligence,https://doi.org/10.1007/978-3-031-72008-6,"Kewei Cheng, Yizhou Sun",9783031720086,,2025
,Knowledge Graphs,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-37439-6,"Dieter Fensel, Umutcan Şimşek, Kevin Angele, Elwin Huaman, Elias Kärle, Oleksandra Panasiuk, Ioan Toma, Jürgen Umbrich, Alexander Wahler",9783030374396,,2020
,Knowledge Graphs,Synthesis Collection of Technology (R0),Computer Science,https://doi.org/10.1007/978-3-031-01918-0,Aidan Hogan... (et al.),9783031019180,,2022
,Knowledge Graphs and Semantic Web,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65384-2,"Boris Villazón-Terrazas, Fernando Ortiz-Rodríguez, Sanju M. Tiwari, Shishir K. Shandilya",9783030653842,,2020
,Knowledge Management (KM) Processes in Organizations,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02275-3,"Claire McInerney, Michael E.D. Koenig",9783031022753,,2011
,Knowledge Management at the Crossroads,Synthesis Collection of Technology (R0),"Knowledge Management,",https://doi.org/10.1007/978-3-031-79003-4,"Susanne Durst, Yasmina Khadir",9783031790034,,2025
,Knowledge Representation and Organization in Machine Learning,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0017213,Katharina Morik,9783540460817,347,1989
,Knowledge Representation and Reasoning Under Uncertainty,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-58095-6,"Michael Masuch, László Pólos",9783540484516,808,1994
,"Knowledge Science, Engineering and Management",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-55130-8,"Gang Li, Heng Tao Shen, Ye Yuan, Xiaoyang Wang, Huawen Liu, Xiang Zhao",9783030551308,,2020
,"Knowledge Science, Engineering and Management",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-55393-7,"Gang Li, Heng Tao Shen, Ye Yuan, Xiaoyang Wang, Huawen Liu, Xiang Zhao",9783030553937,,2020
,Knowledge-Based Explorable Extended Reality Environments ,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59965-2,Jakub Flotyński,9783030599652,,2020
,Knowledge-Based Software Engineering: 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-53949-8,"Maria Virvou, Hiroyuki Nakagawa, Lakhmi C. Jain",9783030539498,,2020
,Knowledge-Based Systems in Astronomy,Springer,Physics,http://dx.doi.org/10.1007/3-540-51044-3,"A. Heck, F. Murtagh",9783540461395,329,1989
,Kodaira-Spencer Maps in Local Algebra,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0074026,Bernd Herzog,9783540491033,1597,1994
,"KORSO: Methods, Languages, and Tools for the Construction of Correct Software",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0015452,"Manfred Broy, Stefan Jähnichen",9783540478027,1009,1995
,K-theory and Homological Algebra,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0086716,Hvedri Inassaridze,9783540471622,1437,1990
,K-Theory and Operator Algebras,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0095696,"Bernard B. Morrel, I. M. Singer",9783540374237,575,1977
,K-Theory of Finite Groups and Orders,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0059150,"Richard G. Swan, E. Graham Evans",9783540363125,149,1970
,"K-Theory, Arithmetic and Geometry",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0078363,Yuri I. Manin,9783540480167,1289,1987
,Kuramochi Boundaries of Riemann Surfaces,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0098441,"A. Dold, B. Eckmann",9783540358596,58,1968
,L Systems,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-06867-8,"Grzegorz Rozenberg, Arto Salomaa",9783540378235,15,1974
,L1-Algebras and Segal Algebras,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0060759,Hans Reiter,9783540369394,231,1971
,La Transformation de Fourier Complexe et L’Equation de Convolution,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0060979,Chin-Cheng Chou,9783540469100,325,1973
,Laboratory Manual of Organic Chemistry,New Age International,"Science , Chemistry , Medical , Pharmacy",http://elib4u.ipublishcentral.com/product/laboratory-manual-organic-chemistry ,Raj K Bansal,9788122429305,5th ed.,2009
,Laboratory Work in Hydraulic Engineering,New Age International,"Engineering , Civil",http://elib4u.ipublishcentral.com/product/laboratory-work-in-hydraulic-engineering ,G L Asawa,9788122423204,,2006
,LabVIEW for Everyone: Graphical Programming Made Easy and Fun,Pearson India,"Scientific apparatus and instruments -Computer simulation, LabVIEW",https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5127185,Travis,9788131735190,3rd ed.,2007
,L'Analyse Harmonique dans le Domaine Complexe,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0065780,E. J. Akutowicz,9783540471707,336,1973
,Landmarking and Segmentation of 3D CT Images,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01635-6,"Shantanu Banik, Rangaraj Rangayyan, Graham Boag",9783031016356,,2009
