langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Equations de Pfaff algébriques,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0063393,Jean-Pierre Jouanolou,9783540353447,708,1979
,Equations Différentielles à Points Singuliers Réguliers,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0061194,Pierre Deligne,9783540363736,163,1970
,Equations Différentielles et Systèmes de Pfaff dans le Champ Complexe,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0062810,"Raymond Gérard, Jean-Pierre Ramis",9783540353140,712,1979
,Equations différentielles et systèmes de Pfaff dans le champ complexe — II,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0071347,"Raymond Gérard, Jean-Pierre Ramis",9783540386742,1015,1983
,Equations over Finite Fields An Elementary Approach,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0080437,Wolfgang M. Schmidt,9783540381235,536,1976
,Equilibrium States and the Ergodic Theory of Anosov Diffeomorphisms,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0081279,Rufus Bowen,9783540375340,470,1975
,Equivariant Cohomology Theories,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0082690,Glen E. Bredon,9783540349730,34,1967
,Equivariant K-Theory and Freeness of Group Actions on C*-Algebras,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0078657,N. Christopher Phillips,9783540478683,1274,1987
,Equivariant Pontrjagin Classes and Applications to Orbit Spaces,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0060730,Don Bernard Zagier,9783540379881,290,1972
,Equivariant Sheaves and Functors,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0073549,"Joseph Bernstein, Valery Lunts",9783540484301,1578,1994
,Equivariant Stable Homotopy Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0075778,"L. Gaunce Lewis, J. Peter May, Mark Steinberger",9783540470779,1213,1986
,Equivariant Surgery Theories and Their Periodicity Properties,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0092354,"Karl Heinz Dovermann, Reinhard Schultz",9783540463948,1443,1990
,Ergodic Concepts in Stellar Dynamics,Springer,Physics,http://dx.doi.org/10.1007/BFb0058085,"V. G. Gurzadyan, D. Pfenniger",9783540483861,430,1994
,Ergodic Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0063275,"Manfred Denker, Konrad Jacobs",9783540351306,729,1979
,Ergodic Theory — Introductory Lectures,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0112501,Peter Walters,9783540374947,458,1975
,Ergodic Theory and Related Topics III,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0097523,"Ulrich Krengel, Karin Richter, Volker Warstat",9783540470762,1514,1992
,Ergodic Theory and Statistical Mechanics,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0101575,Jean Moulin Ollagnier,9783540392897,1115,1985
,Ergodic Theory of Discrete Sample Paths,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/013/,Paul C. Shields,9781470420710, ,1996
,Ergodic Theory on Compact Spaces,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0082364,"Manfred Denker, Christian Grillenberger, Karl Sigmund",9783540382638,527,1976
